№;Контекст;Русский;English;Español
1;AboutScreen;Модуль управления и связи;Communication module;Módulo de comunicación
2;AboutScreen;Модуль аргоновый;Argon module;Módulo de argón
3;AboutScreen;Модуль генератора;Generator;GENERADOR
4;AboutScreen;МК раскачки;Driver MCU;MCU del excitador
5;AboutScreen;МК нейтрального электрода;Neutral electrode MCU;MCU del electrodo neutro
6;AboutScreen;Не указано;Not specified;No especificado
7;AboutScreen;Об аппарате;About the unit;Acerca del equipo
8;AboutScreen;Тип аппарата;Unit type;Tipo de equipo
9;AboutScreen;Серийный номер;Serial number;Número de serie
10;AboutScreen;Комментарии;Comments;Comentarios
11;AboutScreen;Версия приложения;Application version;Versión de la aplicación
12;AboutScreen;Версии ПО модулей;Module firmware versions;Versiones de firmware de los módulos
13;AboutScreen;Загрузчик;Bootloader;Cargador de arranque
14;AboutScreen;Рабочая прошивка;Main firmware;Firmware principal
15;AboutScreen;Назад;back;atrás
16;Activation;АКТИВАЦИЯ ;ACTIVATION ;ACTIVACIÓN 
17;Activation;Мощность;Power;Potencia
18;Activation;"Эффект
резания";"Cut
eff.";"Corte
ef."
19;Activation;"Эффект
коагуляции";"Coag
eff.";"Coag
ef."
20;Argon;РАСХОД АРГОНА;ARGON FLOW;FLUJO DE ARGÓN
21;Argon;АРГОН;ARGON;ARGÓN
22;Argon;л/мин;l/min;l/min
23;Argon;ПРОДУТЬ;BLOW OUT;PURGAR
24;ArgonDrawer;НАСТРОЙКА ГАЗОВОГО ТРАКТА;GAS LINE SETUP;AJUSTE DEL CIRCUITO DE GAS
25;ArgonDrawer;X;X;X
26;DateTimeController;Не удалось запустить timedatectl;Failed to start timedatectl;No se pudo iniciar timedatectl
27;DateTimeController;timedatectl не завершился за отведённое время;timedatectl did not finish in time;timedatectl no terminó a tiempo
28;DateTimeController;timedatectl завершился с ошибкой;timedatectl finished with an error;timedatectl terminó con un error
29;DateTimeController;Некорректная дата или время;Invalid date or time;Fecha u hora no válidas
30;DateTimeSettings;Не сохранено;Not saved;No guardado
31;DateTimeSettings;Проверьте дату и время;Check the date and time;Compruebe la fecha y la hora
32;DateTimeSettings;Текущее время загружено;Current time loaded;Hora actual cargada
33;DateTimeSettings;Контроллер даты и времени недоступен;Date and time controller unavailable;Controlador de fecha y hora no disponible
34;DateTimeSettings;Дата и время сохранены;Date and time saved;Fecha y hora guardadas
35;DateTimeSettings;НАСТРОЙКА ДАТЫ И ВРЕМЕНИ;DATE AND TIME;FECHA Y HORA
36;DateTimeSettings;ТЕКУЩЕЕ СИСТЕМНОЕ ВРЕМЯ;CURRENT SYSTEM TIME;HORA ACTUAL DEL SISTEMA
37;DateTimeSettings;Недоступно;Unavailable;No disponible
38;DateTimeSettings;ГОД;YEAR;AÑO
39;DateTimeSettings;МЕСЯЦ;MONTH;MES
40;DateTimeSettings;ДЕНЬ;DAY;DÍA
41;DateTimeSettings;ЧАСЫ;HOURS;HORAS
42;DateTimeSettings;МИНУТЫ;MINUTES;MINUTOS
43;DateTimeSettings;СЕКУНДЫ;SECONDS;SEGUNDOS
44;DateTimeSettings;НАЗАД;BACK;ATRÁS
45;DateTimeSettings;ТЕКУЩЕЕ;CURRENT;ACTUAL
46;DateTimeSettings;СОХРАНИТЬ;SAVE;GUARDAR
47;DummySocket;не выбран;not selected;no seleccionado
48;EndoChart;рез;cut;corte
49;EndoChart;коаг;coag;coag
50;HalfSocket;не выбран;not selected;no seleccionado
51;HalfSocket;коагуляция;coag;coag
52;HalfSocket;резание;cut;corte
53;HalfSocket;"эфф.
рез.";cut eff.;cort ef.
54;HalfSocket;"эфф.
коаг.";coag eff.;coag ef.
55;HttpUploadController;Не удалось запустить %1;Failed to start %1;No se pudo iniciar %1
56;HttpUploadController;Timeout команды %1;Command %1 timed out;Tiempo de espera agotado para %1
57;HttpUploadController;nmcli не найден.;nmcli not found.;nmcli no encontrado.
58;HttpUploadController;Скрипт управления firewall найден, но не исполняемый: %1;Firewall control script found but not executable: %1;Script de control del firewall encontrado pero no ejecutable: %1
59;HttpUploadController;Не удалось запустить helper firewall.;Failed to start the firewall helper.;No se pudo iniciar el helper del firewall.
60;HttpUploadController;Timeout вызова helper firewall.;Firewall helper call timed out.;Tiempo de espera agotado al llamar al helper del firewall.
61;HttpUploadController;Helper firewall завершился с ошибкой.;Firewall helper finished with an error.;El helper del firewall terminó con un error.
62;HttpUploadController;Helper firewall завершился с ошибкой: %1;Firewall helper finished with an error: %1;El helper del firewall terminó con un error: %1
63;HttpUploadController;QR недоступен: не установлен qrencode.;QR unavailable: qrencode is not installed.;QR no disponible: qrencode no está instalado.
64;HttpUploadController;QR недоступен: ошибка запуска qrencode.;QR unavailable: failed to start qrencode.;QR no disponible: error al iniciar qrencode.
65;HttpUploadController;Сначала подключите телефон или ноутбук к Wi-Fi %1. Пароль: %2;First connect your phone or laptop to Wi-Fi %1. Password: %2;Primero conecte su teléfono o portátil a la red Wi-Fi %1. Contraseña: %2
66;HttpUploadController;Адрес загрузки ещё не готов.;Upload address is not ready yet.;La dirección de carga aún no está lista.
67;HttpUploadController;Если телефон уже подключён к ONYX-TEST, откройте этот QR для страницы загрузки.;If the phone is already connected to ONYX-TEST, open this QR for the upload page.;Si el teléfono ya está conectado a ONYX-TEST, abra este QR para la página de carga.
68;HttpUploadController;Устройство подключено. Отсканируйте QR для открытия страницы загрузки.;Device connected. Scan the QR to open the upload page.;Dispositivo conectado. Escanee el QR para abrir la página de carga.
69;HttpUploadController;Wi-Fi интерфейс не найден.;Wi-Fi interface not found.;Interfaz Wi-Fi no encontrada.
70;HttpUploadController;Запуск точки доступа %1...;Starting access point %1...;Iniciando el punto de acceso %1...
71;HttpUploadController;Не удалось создать профиль точки доступа.;Failed to create the access point profile.;No se pudo crear el perfil del punto de acceso.
72;HttpUploadController;Не удалось создать профиль точки доступа: %1;Failed to create the access point profile: %1;No se pudo crear el perfil del punto de acceso: %1
73;HttpUploadController;Не удалось настроить точку доступа.;Failed to configure the access point.;No se pudo configurar el punto de acceso.
